xxxx;;;;;;;;;;;;;;x
social_democrat_YEM;阿拉伯社会主义联盟;Union socialiste arabe;Arabische Sozialistische Union;;Unión Socialista árabe;;;;;;;;;;x
left_wing_radical_YEM;阿拉伯 Socialist Movement;Mouvement socialiste arabe;Arabische Sozialistische Bewegung;;Movimiento Socialista árabe;;;;;;;;;;x
leninist_YEM;复兴党;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_YEM;也门共产党;Parti communiste yéménite;Kommunistische Partei des Jemens;;Partido?Comunista del Yemen;;;;;;;;;;x
national_socialist_YUG;德意志党;Partei der Deutschen;Partei der Deutschen;;Partei der Deutschen;;;;;;;;;;x
fascistic_YUG;ZBOR;ZBOR;ZBOR;;ZBOR;;;;;;;;;;x
paternal_autocrat_YUG;民族激进党;Narodna radikalna stranka;Narodna radikalna stranka;;Narodna radikalna stranka;;;;;;;;;;x
social_conservative_YUG;农民民主联合;Seljacko-demokratska koalicija;Seljacko-demokratska koalicija;;Seljacko-demokratska koalicija;;;;;;;;;;x
market_liberal_YUG;自由党;Liberalna stranka;Liberalna stranka;;Liberalna stranka;;;;;;;;;;x
social_liberal_YUG;民主党;Demokratska stranka;Demokratska stranka;;Demokratska stranka;;;;;;;;;;x
social_democrat_YUG;南斯拉夫共和党;Jugoslovenska republikanska stranka;Jugoslovenska republikanska stranka;;Jugoslovenska republikanska stranka;;;;;;;;;;x
left_wing_radical_YUG;中间派;Centrumasi;Centrumasi;;Centrumasi;;;;;;;;;;x
leninist_YUG;南斯拉夫社会主义工党;Socijalisticka radnicka partija Jugoslavije;Socijalisticka radnicka partija Jugoslavije;;Socijalisticka radnicka partija Jugoslavije;;;;;;;;;;x
stalinist_YUG;南斯拉夫共产党;Komunisticka partija Jugoslavije;Komunisticka partija Jugoslavije;;Komunisticka partija Jugoslavije;;;;;;;;;;x
